ID,Title,Brief Description,Type,Area,Priority,Initiative,Epic,Dependencies,Blocked Items,Complexity,Risk,Milestone,Release Impact,Labels,Database Impact,API Impact,Security Impact
FIN-005,Make transaction posting idempotent and concurrency-safe,"Apply each posting once under retries and concurrency.",Story,Backend,P0,FIN-I01,FIN-E02,FIN-004,FIN-008,M,High,M2,First production release,"backend;idempotency;priority:P0",Index/constraint,Backward-compatible contract change,Medium
FIN-006,Update unposted transactions atomically,"Prevent partial item replacement during update.",Bug,Backend,P0,FIN-I01,FIN-E02,STAB-003,None,S,High,M2,First production release,"backend;bug;priority:P0",None,Backward-compatible change,Medium
FIN-007,Add financial audit events and reversal workflow,"Correct posted records through auditable reversals.",Story,Backend,P0,FIN-I01,FIN-E02,"FIN-004;AUTH-003",FIN-008,L,High,M2,First production release,"backend;audit;priority:P0",Schema change,New endpoint,High
FIN-008,Add financial-rule integration and concurrency tests,"Test observable effects failures retries and reversals.",Test,Testing,P0,FIN-I01,FIN-E02,"FIN-005;FIN-007",None,L,Medium,M2,First production release,"testing;finance;priority:P0",Test-only,None,Medium
AUTH-001,Add user authentication and secure sessions,"Implement password authentication and revocable secure sessions.",Story,Authentication,P0,AUTH-I01,AUTH-E01,"STAB-002;STAB-005","AUTH-002;AUTH-006;DEVOPS-002",L,High,M2,First production release,"authentication;security;priority:P0",Schema change,New endpoints,Critical
AUTH-002,Add household ownership to financial entities,"Backfill household ownership across domain data.",Migration,Database,P0,AUTH-I01,AUTH-E02,"AUTH-001;STAB-001","AUTH-003;DOM-001",L,High,M2,First production release,"database;authorization;migration;priority:P0",Schema/backfill,None,Critical
AUTH-003,Enforce household authorization on every API resource,"Prevent anonymous and cross-household object access.",Security task,Authorization,P0,AUTH-I01,AUTH-E02,AUTH-002,"AUTH-004;FIN-007;DOM-004;REC-002",L,High,M2,First production release,"authorization;security;priority:P0",Query-only,Modified endpoints,Critical
AUTH-004,Protect backup export and restore operations,"Guard and make destructive restore failure-safe.",Security task,Security,P0,AUTH-I01,AUTH-E02,AUTH-003,None,M,High,M2,First production release,"security;backup;priority:P0",Data replacement,Breaking security change,Critical
AUTH-005,Add request validation and safe error responses,"Validate all inputs and hide internal failures.",Security task,API,P0,AUTH-I01,AUTH-E02,STAB-003,None,M,High,M2,First production release,"api;validation;security",None,Modified validation,High
AUTH-006,Apply secure HTTP CORS CSRF and rate-limit policy,"Harden browser and proxy request handling.",Security task,Security,P0,AUTH-I01,AUTH-E02,AUTH-001,DEPLOY-004,M,High,M2,First production release,"security;http;priority:P0",None,Modified security behavior,Critical
DOM-001,Add default and item beneficiary schema fields,"Add household-safe default and item beneficiary references.",Migration,Database,P1,DOM-I01,DOM-E01,AUTH-002,"DOM-002;DOM-003",M,Medium,M1,MVP,"database;beneficiary;migration",Schema/index/constraint,None,High
DOM-002,Backfill historical item beneficiaries,"Preserve legacy meaning through default inheritance.",Migration,Database,P1,DOM-I01,DOM-E01,"DOM-001;STAB-001",None,S,Medium,M1,MVP,"migration;beneficiary",Backfill,None,Medium
DOM-003,Resolve effective beneficiaries in the domain service,"Apply explicit item then default beneficiary resolution.",Story,Backend,P1,DOM-I01,DOM-E01,DOM-001,DOM-004,S,Medium,M1,MVP,"backend;beneficiary",Query-only,Internal change,High
DOM-004,Expose beneficiary fields through compatible APIs,"Add explicit default and effective beneficiary fields.",Story,API,P1,DOM-I01,DOM-E01,"DOM-003;AUTH-003",DOM-008,S,Medium,M1,MVP,"api;beneficiary",None,Backward-compatible contract change,High
DOM-005,Add itemization status and reconciliation fields,"Represent incomplete itemization independently of finance.",Migration,Database,P1,DOM-I01,DOM-E02,STAB-002,DOM-007,M,Medium,M1,MVP,"database;itemization;migration",Schema/backfill/constraint,None,Low
DOM-006,Add direct product links and validate variations,"Link generic products directly and preserve unresolved items.",Migration,Database,P1,DOM-I01,DOM-E02,STAB-001,"DOM-007;REC-004",M,Medium,M1,MVP,"database;product;migration",Schema/backfill/index,Backward-compatible later,Medium
DOM-007,Implement itemization reconciliation and coverage,"Derive allocated unallocated and coverage values.",Story,Backend,P1,DOM-I01,DOM-E02,"DOM-005;DOM-006","DOM-008;REC-001",M,High,M3,MVP,"backend;itemization",Query-only,Backward-compatible fields,Low
DOM-008,Add optional itemization and beneficiary editing UI,"Support quick entry and mixed beneficiaries.",Story,Frontend,P1,DOM-I01,DOM-E02,"DOM-004;DOM-007",None,L,Medium,M3,MVP,"frontend;itemization;beneficiary",None,Uses compatible fields,Medium
REC-001,Define a strict receipt-draft extraction schema,"Specify bounded untrusted extractor output.",Documentation,Receipt processing,P2,REC-I01,REC-E01,DOM-007,"REC-002;SPIKE-001",S,Medium,M4,Receipt-processing release,"receipt-processing;documentation",None,New future contract,High
REC-002,Quarantine and validate receipt uploads,"Validate and privately store untrusted files.",Security task,Receipt processing,P1,REC-I01,REC-E01,"AUTH-003;REC-001",REC-003,M,High,M4,Receipt-processing release,"security;upload;receipt-processing",Metadata schema,New endpoint,Critical
REC-003,Persist receipt drafts and raw extraction safely,"Store household drafts without financial permissions.",Story,Database,P2,REC-I01,REC-E01,REC-002,"REC-004;REC-005;REC-007",M,Medium,M4,Receipt-processing release,"database;receipt-processing",Schema/index,New internal API,High
REC-004,Add store and product alias matching,"Rank confirmed aliases without automatic product creation.",Story,Receipt processing,P2,REC-I01,REC-E01,"REC-003;DOM-006",REC-006,M,Medium,M4,Receipt-processing release,"receipt-processing;matching",Schema/index,New review fields,Medium
REC-005,Detect duplicates and reconcile receipt totals,"Score duplicates and validate totals within tolerance.",Story,Receipt processing,P1,REC-I01,REC-E01,REC-003,REC-006,M,High,M4,Receipt-processing release,"receipt-processing;finance",Index/query,New draft warnings,Medium
REC-006,Build receipt review and confirmation workflow,"Require editable human review before transaction creation.",Story,Frontend,P2,REC-I01,REC-E01,"REC-004;REC-005;AUTH-003",None,L,High,M4,Receipt-processing release,"frontend;receipt-processing",Draft linkage,New endpoints,High
SPIKE-001,Benchmark local OCR engines on representative receipts,"Compare accuracy resources cost maintenance and safety.",Research spike,Receipt processing,P2,REC-I01,REC-E02,REC-001,REC-007,M,Low,M5,Receipt-processing release,"research;ocr",None,None,Medium
REC-007,Implement the selected bounded extraction adapter,"Run the chosen extractor under strict isolation and limits.",Story,Receipt processing,P2,REC-I01,REC-E02,"SPIKE-001;REC-003",None,L,High,M5,Receipt-processing release,"receipt-processing;ocr;security",Status updates,Internal adapter,Critical
DEVOPS-001,Harden frontend and API production images,"Build pinned minimal non-root production images.",Technical task,DevOps,P1,OPS-I01,OPS-E01,STAB-004,"CI-003;SEC-005",M,Medium,M6,First production release,"devops;docker",None,None,High
DEVOPS-002,Create secret-safe production Compose networking,"Use least privilege and expose only the HTTPS edge.",Security task,DevOps,P0,OPS-I01,OPS-E01,"STAB-005;AUTH-001","DEVOPS-003;DEVOPS-004;DEPLOY-001",M,High,M6,First production release,"devops;security;priority:P0",Credential/grant,Deployment URL,Critical
DEVOPS-003,Run schema migrations as a controlled deployment job,"Separate migration and seed from API startup.",Technical task,DevOps,P0,OPS-I01,OPS-E01,"STAB-002;DEVOPS-002","CI-002;DEPLOY-002",S,High,M6,First production release,"devops;migration;priority:P0",Tracked migrations,None,High
DEVOPS-004,Add liveness readiness and container health checks,"Expose non-sensitive health and compatibility status.",Story,Monitoring,P1,OPS-I01,OPS-E01,DEVOPS-002,"DEPLOY-002;DEPLOY-005",M,Low,M6,First production release,"monitoring;devops",Query-only,New endpoints,Medium
CI-001,Validate builds lint types and unit tests in CI,"Add least-privilege pull-request quality validation.",Technical task,CI/CD,P1,OPS-I01,OPS-E02,"STAB-003;STAB-004","CI-002;SEC-001;SEC-002;SEC-003",M,Low,M7,First production release,"ci;testing",None,None,High
CI-002,Validate migrations and integration tests in CI,"Run ephemeral MySQL migration and integration jobs.",Test,CI/CD,P0,OPS-I01,OPS-E02,"CI-001;DEVOPS-003",None,M,Medium,M7,First production release,"ci;database;priority:P0",Test-only,None,Medium
CI-003,Build images and validate Compose in CI,"Validate container artifacts without privileged PR publishing.",Technical task,CI/CD,P1,OPS-I01,OPS-E02,"DEVOPS-001;DEVOPS-002",SEC-004,S,Low,M7,First production release,"ci;docker",None,None,Medium
SEC-001,Enable dependency update and vulnerability review,"Automate dependency updates and severity policy.",Security task,Security,P1,OPS-I01,OPS-E02,CI-001,None,S,Medium,M7,First production release,"security;dependencies",None,None,High
SEC-002,Add CodeQL static analysis,"Scan TypeScript using least-privilege CodeQL workflows.",Security task,Security,P1,OPS-I01,OPS-E02,CI-001,None,S,Low,M7,First production release,"security;codeql",None,None,High
SEC-003,Add Gitleaks secret scanning,"Detect and remediate secrets in tree and history.",Security task,Security,P0,OPS-I01,OPS-E02,CI-001,None,S,High,M7,First production release,"security;secrets;priority:P0",None,None,Critical
SEC-004,Scan images and configuration with Trivy,"Gate container and Compose vulnerabilities and misconfiguration.",Security task,Security,P1,OPS-I01,OPS-E02,CI-003,None,S,Medium,M7,First production release,"security;container;trivy",None,None,High
SEC-005,Lint Dockerfiles with Hadolint,"Check Dockerfile practices with narrow exceptions.",Security task,Security,P2,OPS-I01,OPS-E02,DEVOPS-001,None,XS,Low,M7,First production release,"security;docker",None,None,Medium
DEPLOY-001,Select a deployment platform from verified constraints,"Compare current official cost persistence and OCR constraints.",Research spike,Deployment,P1,OPS-I01,OPS-E03,DEVOPS-002,"DEPLOY-002;DEPLOY-003;DEPLOY-004",M,Medium,M8,First production release,"deployment;research",None,None,High
DEPLOY-002,Create immutable deployment and rollback scripts,"Deploy versioned images with health-gated rollback.",Technical task,Deployment,P1,OPS-I01,OPS-E03,"DEPLOY-001;DEVOPS-003;DEVOPS-004",DEPLOY-006,M,High,M8,First production release,"deployment;operations",Controlled migration,None,High
DEPLOY-003,Create encrypted backup and verified restore scripts,"Schedule encrypted off-host backups and restore rehearsals.",Technical task,Operations,P0,OPS-I01,OPS-E03,"STAB-001;DEPLOY-001","DEPLOY-005;DEPLOY-006",M,High,M8,First production release,"backup;operations;priority:P0",Backup/restore,None,Critical
DEPLOY-004,Configure HTTPS secrets and secure remote access,"Protect remote access with TLS secrets and defense in depth.",Security task,Deployment,P0,OPS-I01,OPS-E03,"DEPLOY-001;AUTH-006",None,M,High,M8,First production release,"deployment;security;priority:P0",None,Proxy behavior,Critical
DEPLOY-005,Add monitoring and backup-failure alerts,"Alert on uptime capacity and backup failures.",Story,Monitoring,P1,OPS-I01,OPS-E03,"DEVOPS-004;DEPLOY-003",DEPLOY-006,M,Medium,M8,First production release,"monitoring;operations",Query-only,Health only,High
DEPLOY-006,Publish and validate the production operations runbook,"Document and rehearse normal and failure operations.",Documentation,Operations,P1,OPS-I01,OPS-E03,"DEPLOY-002;DEPLOY-003;DEPLOY-005",None,M,Medium,M8,First production release,"documentation;operations",Operational,None,High
